REF_DATE,GEO,DGUID,Alternative measures,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1949-01-01,Canada,2016A000011124,"Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)",Percent,239,units,0,v108785713,1.1,,..,,,1
1949-01-01,Canada,2016A000011124,"Measure of core inflation based on a weighted median approach, CPI-median (year-over-year percent change)",Percent,239,units,0,v108785714,1.2,,..,,,1
1949-01-01,Canada,2016A000011124,"Measure of core inflation based on a trimmed mean approach, CPI-trim (year-over-year percent change)",Percent,239,units,0,v108785715,1.3,,..,,,1
1949-01-01,Canada,2016A000011124,"Consumer Price Index (CPI), all-items excluding eight of the most volatile components as defined by the Bank of Canada and excluding the effect of changes in indirect taxes",2002=100,17,units,0,v112593702,1.4,,..,,,1
1949-01-01,Canada,2016A000011124,"Consumer Price Index (CPI), all-items excluding eight of the most volatile components as defined by the Bank of Canada",2002=100,17,units,0,v112593703,1.5,12.8,,,,1
1949-01-01,Canada,2016A000011124,"Consumer Price Index (CPI), all-items excluding the effect of indirect taxes",2002=100,17,units,0,v112593704,1.6,,..,,,1
1949-01-01,Canada,2016A000011124,"Consumer Price Index (CPI), all-items excluding eight of the most volatile components as defined by the Bank of Canada and excluding the effect of changes in indirect taxes, seasonally adjusted",2002=100,17,units,0,v112593705,1.7,,..,,,1
1949-01-01,Canada,2016A000011124,"Consumer Price Index (CPI), all-items excluding eight of the most volatile components as defined by the Bank of Canada, seasonally adjusted",2002=100,17,units,0,v112593706,1.8,,..,,,1
1949-01-01,Canada,2016A000011124,"Consumer Price Index (CPI), all-items excluding the effect of indirect taxes, seasonally adjusted",2002=100,17,units,0,v112593707,1.9,,..,,,1
1949-02-01,Canada,2016A000011124,"Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)",Percent,239,units,0,v108785713,1.1,,..,,,1
1949-02-01,Canada,2016A000011124,"Measure of core inflation based on a weighted median approach, CPI-median (year-over-year percent change)",Percent,239,units,0,v108785714,1.2,,..,,,1
1949-02-01,Canada,2016A000011124,"Measure of core inflation based on a trimmed mean approach, CPI-trim (year-over-year percent change)",Percent,239,units,0,v108785715,1.3,,..,,,1
1949-02-01,Canada,2016A000011124,"Consumer Price Index (CPI), all-items excluding eight of the most volatile components as defined by the Bank of Canada and excluding the effect of changes in indirect taxes",2002=100,17,units,0,v112593702,1.4,,..,,,1
1949-02-01,Canada,2016A000011124,"Consumer Price Index (CPI), all-items excluding eight of the most volatile components as defined by the Bank of Canada",2002=100,17,units,0,v112593703,1.5,12.7,,,,1
1949-02-01,Canada,2016A000011124,"Consumer Price Index (CPI), all-items excluding the effect of indirect taxes",2002=100,17,units,0,v112593704,1.6,,..,,,1
1949-02-01,Canada,2016A000011124,"Consumer Price Index (CPI), all-items excluding eight of the most volatile components as defined by the Bank of Canada and excluding the effect of changes in indirect taxes, seasonally adjusted",2002=100,17,units,0,v112593705,1.7,,..,,,1
1949-02-01,Canada,2016A000011124,"Consumer Price Index (CPI), all-items excluding eight of the most volatile components as defined by the Bank of Canada, seasonally adjusted",2002=100,17,units,0,v112593706,1.8,,..,,,1
1949-02-01,Canada,2016A000011124,"Consumer Price Index (CPI), all-items excluding the effect of indirect taxes, seasonally adjusted",2002=100,17,units,0,v112593707,1.9,,..,,,1
1949-03-01,Canada,2016A000011124,"Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)",Percent,239,units,0,v108785713,1.1,,..,,,1
1949-03-01,Canada,2016A000011124,"Measure of core inflation based on a weighted median approach, CPI-median (year-over-year percent change)",Percent,239,units,0,v108785714,1.2,,..,,,1
1949-03-01,Canada,2016A000011124,"Measure of core inflation based on a trimmed mean approach, CPI-trim (year-over-year percent change)",Percent,239,units,0,v108785715,1.3,,..,,,1
1949-03-01,Canada,2016A000011124,"Consumer Price Index (CPI), all-items excluding eight of the most volatile components as defined by the Bank of Canada and excluding the effect of changes in indirect taxes",2002=100,17,units,0,v112593702,1.4,,..,,,1
1949-03-01,Canada,2016A000011124,"Consumer Price Index (CPI), all-items excluding eight of the most volatile components as defined by the Bank of Canada",2002=100,17,units,0,v112593703,1.5,12.6,,,,1
1949-03-01,Canada,2016A000011124,"Consumer Price Index (CPI), all-items excluding the effect of indirect taxes",2002=100,17,units,0,v112593704,1.6,,..,,,1
1949-03-01,Canada,2016A000011124,"Consumer Price Index (CPI), all-items excluding eight of the most volatile components as defined by the Bank of Canada and excluding the effect of changes in indirect taxes, seasonally adjusted",2002=100,17,units,0,v112593705,1.7,,..,,,1
1949-03-01,Canada,2016A000011124,"Consumer Price Index (CPI), all-items excluding eight of the most volatile components as defined by the Bank of Canada, seasonally adjusted",2002=100,17,units,0,v112593706,1.8,,..,,,1
1949-03-01,Canada,2016A000011124,"Consumer Price Index (CPI), all-items excluding the effect of indirect taxes, seasonally adjusted",2002=100,17,units,0,v112593707,1.9,,..,,,1
1949-04-01,Canada,2016A000011124,"Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)",Percent,239,units,0,v108785713,1.1,,..,,,1
1949-04-01,Canada,2016A000011124,"Measure of core inflation based on a weighted median approach, CPI-median (year-over-year percent change)",Percent,239,units,0,v108785714,1.2,,..,,,1
1949-04-01,Canada,2016A000011124,"Measure of core inflation based on a trimmed mean approach, CPI-trim (year-over-year percent change)",Percent,239,units,0,v108785715,1.3,,..,,,1
1949-04-01,Canada,2016A000011124,"Consumer Price Index (CPI), all-items excluding eight of the most volatile components as defined by the Bank of Canada and excluding the effect of changes in indirect taxes",2002=100,17,units,0,v112593702,1.4,,..,,,1
1949-04-01,Canada,2016A000011124,"Consumer Price Index (CPI), all-items excluding eight of the most volatile components as defined by the Bank of Canada",2002=100,17,units,0,v112593703,1.5,12.6,,,,1
1949-04-01,Canada,2016A000011124,"Consumer Price Index (CPI), all-items excluding the effect of indirect taxes",2002=100,17,units,0,v112593704,1.6,,..,,,1
1949-04-01,Canada,2016A000011124,"Consumer Price Index (CPI), all-items excluding eight of the most volatile components as defined by the Bank of Canada and excluding the effect of changes in indirect taxes, seasonally adjusted",2002=100,17,units,0,v112593705,1.7,,..,,,1
1949-04-01,Canada,2016A000011124,"Consumer Price Index (CPI), all-items excluding eight of the most volatile components as defined by the Bank of Canada, seasonally adjusted",2002=100,17,units,0,v112593706,1.8,,..,,,1
1949-04-01,Canada,2016A000011124,"Consumer Price Index (CPI), all-items excluding the effect of indirect taxes, seasonally adjusted",2002=100,17,units,0,v112593707,1.9,,..,,,1
1949-05-01,Canada,2016A000011124,"Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)",Percent,239,units,0,v108785713,1.1,,..,,,1
1949-05-01,Canada,2016A000011124,"Measure of core inflation based on a weighted median approach, CPI-median (year-over-year percent change)",Percent,239,units,0,v108785714,1.2,,..,,,1
1949-05-01,Canada,2016A000011124,"Measure of core inflation based on a trimmed mean approach, CPI-trim (year-over-year percent change)",Percent,239,units,0,v108785715,1.3,,..,,,1
1949-05-01,Canada,2016A000011124,"Consumer Price Index (CPI), all-items excluding eight of the most volatile components as defined by the Bank of Canada and excluding the effect of changes in indirect taxes",2002=100,17,units,0,v112593702,1.4,,..,,,1
1949-05-01,Canada,2016A000011124,"Consumer Price Index (CPI), all-items excluding eight of the most volatile components as defined by the Bank of Canada",2002=100,17,units,0,v112593703,1.5,12.5,,,,1
1949-05-01,Canada,2016A000011124,"Consumer Price Index (CPI), all-items excluding the effect of indirect taxes",2002=100,17,units,0,v112593704,1.6,,..,,,1
1949-05-01,Canada,2016A000011124,"Consumer Price Index (CPI), all-items excluding eight of the most volatile components as defined by the Bank of Canada and excluding the effect of changes in indirect taxes, seasonally adjusted",2002=100,17,units,0,v112593705,1.7,,..,,,1
1949-05-01,Canada,2016A000011124,"Consumer Price Index (CPI), all-items excluding eight of the most volatile components as defined by the Bank of Canada, seasonally adjusted",2002=100,17,units,0,v112593706,1.8,,..,,,1
1949-05-01,Canada,2016A000011124,"Consumer Price Index (CPI), all-items excluding the effect of indirect taxes, seasonally adjusted",2002=100,17,units,0,v112593707,1.9,,..,,,1
1949-06-01,Canada,2016A000011124,"Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)",Percent,239,units,0,v108785713,1.1,,..,,,1
1949-06-01,Canada,2016A000011124,"Measure of core inflation based on a weighted median approach, CPI-median (year-over-year percent change)",Percent,239,units,0,v108785714,1.2,,..,,,1
1949-06-01,Canada,2016A000011124,"Measure of core inflation based on a trimmed mean approach, CPI-trim (year-over-year percent change)",Percent,239,units,0,v108785715,1.3,,..,,,1
1949-06-01,Canada,2016A000011124,"Consumer Price Index (CPI), all-items excluding eight of the most volatile components as defined by the Bank of Canada and excluding the effect of changes in indirect taxes",2002=100,17,units,0,v112593702,1.4,,..,,,1
1949-06-01,Canada,2016A000011124,"Consumer Price Index (CPI), all-items excluding eight of the most volatile components as defined by the Bank of Canada",2002=100,17,units,0,v112593703,1.5,12.5,,,,1
1949-06-01,Canada,2016A000011124,"Consumer Price Index (CPI), all-items excluding the effect of indirect taxes",2002=100,17,units,0,v112593704,1.6,,..,,,1
1949-06-01,Canada,2016A000011124,"Consumer Price Index (CPI), all-items excluding eight of the most volatile components as defined by the Bank of Canada and excluding the effect of changes in indirect taxes, seasonally adjusted",2002=100,17,units,0,v112593705,1.7,,..,,,1
1949-06-01,Canada,2016A000011124,"Consumer Price Index (CPI), all-items excluding eight of the most volatile components as defined by the Bank of Canada, seasonally adjusted",2002=100,17,units,0,v112593706,1.8,,..,,,1
1949-06-01,Canada,2016A000011124,"Consumer Price Index (CPI), all-items excluding the effect of indirect taxes, seasonally adjusted",2002=100,17,units,0,v112593707,1.9,,..,,,1
1949-07-01,Canada,2016A000011124,"Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)",Percent,239,units,0,v108785713,1.1,,..,,,1
1949-07-01,Canada,2016A000011124,"Measure of core inflation based on a weighted median approach, CPI-median (year-over-year percent change)",Percent,239,units,0,v108785714,1.2,,..,,,1
1949-07-01,Canada,2016A000011124,"Measure of core inflation based on a trimmed mean approach, CPI-trim (year-over-year percent change)",Percent,239,units,0,v108785715,1.3,,..,,,1
1949-07-01,Canada,2016A000011124,"Consumer Price Index (CPI), all-items excluding eight of the most volatile components as defined by the Bank of Canada and excluding the effect of changes in indirect taxes",2002=100,17,units,0,v112593702,1.4,,..,,,1
