Date,3M,1Y
2000-01-04,,
2000-01-05,5,5.85
2000-01-12,4.98,5.84
2000-01-18,,
2000-01-19,5.07,5.88
2000-01-26,5.05,5.75
2000-02-01,,
2000-02-02,5.16,5.9
2000-02-09,4.97,5.87
2000-02-15,,
2000-02-16,5.04,5.84
2000-02-23,4.96,5.77
2000-02-29,,
2000-03-01,4.92,5.78
2000-03-08,5.05,5.81
2000-03-14,,
2000-03-15,5.15,5.86
2000-03-22,5.15,5.81
2000-03-28,,
2000-03-29,5.27,5.95
2000-04-05,5.27,5.83
2000-04-11,,
2000-04-12,5.34,5.85
2000-04-19,5.36,5.86
2000-04-25,,
2000-04-26,5.43,6
2000-05-03,5.55,6.14
2000-05-09,,
2000-05-10,5.65,6.23
2000-05-17,5.71,6.31
2000-05-23,,
2000-05-24,5.74,6.3
2000-05-31,5.67,6.25
2000-06-06,,
2000-06-07,5.55,6.13
2000-06-14,5.57,6.05
2000-06-20,,
2000-06-21,5.56,6.12
2000-06-28,5.53,6.07
2000-07-04,,
2000-07-05,5.57,5.95
2000-07-12,5.59,5.95
2000-07-18,,
2000-07-19,5.63,6.02
2000-07-26,5.61,5.94
2000-08-01,,
2000-08-02,5.64,5.93
2000-08-09,5.6,5.85
2000-08-15,,
2000-08-16,5.65,5.92
2000-08-23,5.62,5.87
2000-08-29,,
2000-08-30,5.58,5.9
2000-09-06,5.59,5.85
2000-09-12,,
2000-09-13,5.57,5.86
2000-09-20,5.57,5.81
2000-09-26,,
2000-09-27,5.56,5.81
2000-10-04,5.55,5.82
2000-10-10,,
2000-10-11,5.61,5.83
2000-10-18,5.62,5.78
2000-10-24,,
2000-10-25,5.61,5.79
2000-11-01,5.62,5.85
2000-11-07,,
2000-11-08,5.69,5.95
2000-11-15,5.71,5.95
2000-11-21,,
2000-11-22,5.7,5.91
2000-11-29,5.62,5.8
2000-12-05,,
2000-12-06,5.52,5.61
2000-12-13,5.54,5.56
2000-12-19,,
2000-12-20,5.53,5.48
2000-12-27,5.49,5.41
2001-01-02,,
2001-01-03,5.34,5.18
2001-01-10,5.24,5.04
2001-01-16,,
2001-01-17,5.26,5.13
2001-01-24,5.23,5.1
2001-01-30,,
2001-01-31,5.11,4.9
2001-02-07,5.13,4.93
2001-02-13,,
2001-02-14,5.15,5.05
2001-02-21,5.04,4.88
2001-02-27,,
2001-02-28,4.87,4.79
2001-03-07,4.74,4.65
2001-03-13,,
2001-03-14,4.59,4.53
2001-03-21,4.47,4.34
2001-03-27,,
2001-03-28,4.58,4.52
2001-04-04,4.61,4.52
2001-04-10,,
2001-04-11,4.52,4.54
2001-04-18,4.45,4.42
2001-04-24,,
2001-04-25,4.43,4.45
2001-05-02,4.42,4.51
2001-05-08,,
2001-05-09,4.28,4.34
2001-05-16,4.28,4.38
2001-05-22,,
2001-05-23,4.38,4.57
2001-05-30,4.34,4.55
2001-06-05,,
2001-06-06,4.29,4.46
2001-06-13,4.24,4.41
2001-06-19,,
2001-06-20,4.21,4.36
2001-06-27,4.3,4.47
2001-07-03,,
2001-07-04,4.33,4.6
2001-07-11,4.22,4.46
2001-07-17,,
2001-07-18,4.1,4.33
2001-07-25,4.07,4.28
2001-07-31,,
2001-08-01,4.03,4.22
2001-08-08,3.99,4.12
2001-08-14,,
2001-08-15,3.96,4.13
2001-08-22,3.9,4.02
2001-08-28,,
2001-08-29,3.8,3.84
2001-09-05,3.78,3.81
2001-09-11,,
2001-09-12,3.4,3.38
2001-09-19,3.1,3.01
2001-09-25,,
2001-09-26,3.05,2.97
2001-10-03,3.02,2.9
2001-10-09,,
2001-10-10,2.97,2.92
2001-10-17,2.86,2.91
2001-10-23,,
2001-10-24,2.45,2.54
2001-10-31,2.34,2.3
2001-11-06,,
2001-11-07,2.15,2.1
2001-11-14,2.19,2.27
2001-11-20,,
2001-11-21,2.2,2.56
2001-11-28,2.07,2.48
2001-12-04,,
2001-12-05,2.06,2.47
2001-12-12,2,2.26
2001-12-18,,
2001-12-19,1.99,2.28
2001-12-26,1.95,2.2
2002-01-01,,
2002-01-02,1.91,2.2
2002-01-09,1.89,2.19
2002-01-15,,
2002-01-16,1.9,2.12
2002-01-23,1.91,2.3
2002-01-29,,
2002-01-30,1.96,2.44
2002-02-06,1.96,2.4
2002-02-12,,
2002-02-13,2.03,2.54
2002-02-20,2.02,2.49
2002-02-26,,
2002-02-27,2.05,2.57
2002-03-06,2.06,2.66
2002-03-12,,
2002-03-13,2.14,3.04
2002-03-20,2.12,3.18
2002-03-26,,
2002-03-27,2.3,3.42
2002-04-03,2.21,3.28
2002-04-09,,
2002-04-10,2.36,3.32
2002-04-17,2.36,3.25
2002-04-23,,
2002-04-24,2.37,3.32
2002-05-01,2.39,3.27
2002-05-07,,
2002-05-08,2.46,3.2
2002-05-15,2.53,3.42
2002-05-21,,
2002-05-22,2.59,3.4
2002-05-29,2.6,3.41
2002-06-04,,
2002-06-05,2.66,3.41
2002-06-12,2.68,3.42
2002-06-18,,
2002-06-19,2.72,3.32
2002-06-26,2.7,3.2
2002-07-02,,
2002-07-03,2.71,3.23
2002-07-10,2.82,3.27
2002-07-16,,
2002-07-17,2.82,3.2
