Name,avg_returns,avg_volatility,avg_annual_returns,avg_annual_volatility,sharpe_ratio
S&P 500,0.17428920890692298,0.1481707042216786,0.1111079410550458,0.09318334668832068,0.9314836888019771
3M,0.05908007113681543,0.26562140330679335,0.03137116834341142,0.17665611438340081,0.08587205732191444
A. O. Smith,0.3202025141529984,0.35581099514968734,0.193561380653361,0.2170677595714388,0.7979851754368158
Abbott,0.21133014786237223,0.2244205840324462,0.131820889298348,0.14242270907915913,0.7800511430401386
AbbVie,0.23264554840859855,0.2654127653491889,0.1434818794867665,0.16708155925761406,0.7398850367430964
Accenture,0.26696214803431123,0.20246543330689354,0.1675891354765803,0.12398685277387163,1.1394119455369252
Adobe Inc.,0.4356694526539843,0.41133368637108986,0.25983650787226464,0.2512554833408231,0.9709849961754276
Advanced Micro Devices,0.7925619222535427,1.4341882349443567,0.3893672589826759,0.7174123619519722,0.5273305756247247
AES Corporation,0.09867015298942637,0.2800466777912619,0.05737359193327296,0.17767874834744643,0.22281834841051007
Aflac,0.15640865385729394,0.23041265650946968,0.09678342626003748,0.14705053252709138,0.5214038191787841
Agilent Technologies,0.24016325466544086,0.2888236994065309,0.1476743287230595,0.17562598713796623,0.7059415149043109
Air Products and Chemicals,0.18106591596520805,0.19806386733350492,0.1138675001416278,0.1244558214993869,0.7310535896750464
Airbnb,-0.12008209396848857,0.3084340176279294,-0.09315445906770638,0.20662599658641612,-0.50692433324014
Akamai,0.15216626056436128,0.29682804615864156,0.0907176780162117,0.1901569853695326,0.39044708644645065
Albemarle Corporation,0.2988480199960705,0.6687914135980775,0.16056819672040623,0.38152333624934864,0.3926147972164967
Alexandria Real Estate Equities,0.09069331518621647,0.21380025484775733,0.05469159823626652,0.1423279984437992,0.2545492775901629
Align Technology,0.5732821468925976,0.7981316881807834,0.3147901278380017,0.4494748805862342,0.6728357488856311
Allegion,0.15319319202158083,0.18275480025750773,0.09650801145134837,0.11757931204567652,0.6397784194489328
Alliant Energy,0.140292463163593,0.13522188457138237,0.08968788205323532,0.08763596387132488,0.7692678498542426
Allstate,0.20497751243378134,0.23919209009749032,0.12759664000248022,0.14745715855950187,0.7053197185529521
Alphabet Inc. (Class A),0.32584998998946935,0.3018225215945112,0.2000625121784726,0.18140266797076993,0.9594359416703262
Alphabet Inc. (Class C),0.3283648787556477,0.3049745100154302,0.20145104542401354,0.18328864148960008,0.9577661555214632
Altria,0.10524832174735865,0.24288823524622644,0.06299546765167674,0.1589649909247236,0.28398949381515254
Amazon,0.46054918452551863,0.4228150193259368,0.27420209519891797,0.25585182228579,1.0034614438148104
Amcor,0.03258359322469934,0.1585858585431006,0.01897413018786702,0.10382567055961568,-0.023249371509539197
Ameren,0.14165456805375068,0.12802016622430765,0.09075061761062023,0.08280295975746807,0.8231824437954365
American Airlines Group,0.25852114676162213,0.7956415958944268,0.12141402145943832,0.4581866052690977,0.2793349834175654
American Electric Power,0.116154371877757,0.13236032033750325,0.074280482136916,0.08591937123952963,0.6035325156960613
American Express,0.2115498254394237,0.29368331964993327,0.12900215533209053,0.18375675807175584,0.5968306640030736
American International Group,0.12296338617118725,0.37930620337374543,0.0676705788638049,0.2355802019592629,0.22855616553056557
American Tower,0.20308691785572128,0.22971814651673222,0.1262954694996349,0.1472483940446903,0.7261781692873078
American Water Works,0.241804719608946,0.1946651844873642,0.15193088508728814,0.12391561775455419,1.0558339200924765
Ameriprise Financial,0.3136073660032522,0.40610823107194655,0.18724294980400874,0.2423845862241018,0.6829133960301134
Ametek,0.27251850157001833,0.22484548267273102,0.1701911341211423,0.13853290991421652,1.0507121779615947
Amgen,0.21607131845790958,0.21908049286472303,0.135373055333982,0.134443468256193,0.8207061310693924
Amphenol,0.28049164601930876,0.222692484972079,0.17534726838691408,0.13503379963809892,1.096673878706782
Analog Devices,0.23210582498035748,0.1734336006739701,0.14682552891207964,0.1068210129687786,1.1291653373579669
Ansys,0.2787814641153579,0.2982545624658468,0.17084227533983,0.18450417004257436,0.8131002166211649
Aon,0.2737847528802908,0.18042440037434362,0.17252941573964453,0.10964252803649883,1.316419162936779
APA Corporation,0.030114314235593798,0.695449592197263,-0.016393088448085517,0.397117232062298,-0.008852259890012416
Apple Inc.,0.4539664079592569,0.4427213166815934,0.27076850947383996,0.2555024953093187,0.9434734164687577
Applied Materials,0.4323798117135657,0.5946928989378107,0.2474557215820212,0.34390798526513605,0.6660735274541444
Aptiv,0.27761261248644653,0.5009603340312117,0.1585219073885567,0.2991714179283663,0.4817586968977127
Arch Capital Group,0.3014808694624056,0.2515339263815885,0.18707185651058017,0.15366336000184894,1.0543717044910368
Archer-Daniels-Midland,0.14453664558983725,0.2931451956049445,0.08642475469233658,0.18443246262948373,0.3693256190001294
Arista Networks,0.6658237819390977,0.7435045997688159,0.3758735175994929,0.4067490937766562,0.8467374208158536
Arthur J. Gallagher & Co.,0.29091078851061664,0.18846159898107614,0.1827680368711222,0.11533713684769088,1.3511515084304178
Assurant,0.19803058091864045,0.2502421122164623,0.12272717013402658,0.15476327600618645,0.6464138458541666
AT&T,-0.012259312453650209,0.1569250470244357,-0.010952485082939833,0.10470748447600672,-0.3092554575575208
Atmos Energy,0.17878974482175702,0.1529291639954229,0.11375565974616786,0.09740354885570293,0.9319290469664469
Autodesk,0.3025776191765205,0.38833723730078845,0.18062391902410085,0.23863063949762545,0.6857622160094938
Automatic Data Processing,0.24145155330170984,0.16146365573545077,0.15290079657164235,0.1005945018302075,1.2707561810179766
AutoZone,0.36555984357790705,0.28629180861177417,0.2245229405914659,0.17512414560991182,1.1501873923969386
AvalonBay Communities,0.08492923844328787,0.22181639181898263,0.051051602546881236,0.14250583154506763,0.21936441792304293
Avery Dennison,0.24486145255695405,0.30372522668053553,0.1494377520655509,0.18894278637972228,0.6867748196965775
Axon Enterprise,0.7122243747633937,0.7043170087792765,0.4051636852121583,0.3856790581356198,0.9597294280438163
Baker Hughes,0.011228642696577529,0.39543937360145515,-0.008315047013805374,0.25331101665506855,-0.06332695664946157
Ball Corporation,0.2037312712781412,0.297421376228516,0.12326720181576023,0.1915149763588867,0.5630417646354714
Bank of America,0.19156739961449668,0.4679433474185728,0.10486238711817913,0.29158852879271097,0.33187091066700736
Bank of New York Mellon,0.09745667070905444,0.2726878320234518,0.05660561578164136,0.17639897302354995,0.2243813209005423
"Bath & Body Works, Inc.",0.32038465373443,1.1190916082684774,0.14211859094116683,0.5644568569953295,0.2538791613386328
Baxter International,0.08857409170741067,0.2732718091417938,0.05007699849619082,0.18287500606206697,0.19139726525594378
Becton Dickinson,0.1618619540253593,0.17360222106754078,0.10245610425468847,0.10988652052649373,0.7234431592345254
Berkshire Hathaway,0.20193303209045352,0.1847813991188265,0.12750762553605743,0.11547467810180057,0.8965318918155537
Best Buy,0.18161148243543584,0.4631177708588004,0.09857805094492839,0.29064003863068166,0.31383133365793814
Bio-Rad,0.22359687974697762,0.3752535323562691,0.13180560483626588,0.23476581749213196,0.4991992048805053
Bio-Techne,0.24543816995126466,0.37492600630355394,0.14664035182686658,0.22592469202025925,0.557890228120873
Biogen,0.26248546187318894,0.4820110703909255,0.150416619022179,0.2888461726251915,0.4693146298975971
BlackRock,0.21163227691874698,0.3121906246700773,0.1282932193371146,0.19350578984460465,0.5617134157630194
Blackstone,0.342459018794493,0.4814777533980915,0.20027890865268008,0.28499441303167644,0.6359346862184214
Boeing,0.23061145439517394,0.4830073797559005,0.12895045023426027,0.29729547846547755,0.4023558392156693
Booking Holdings,0.34127681538852683,0.3950975292895296,0.20529468823828673,0.23192860734324666,0.771976987987919
BorgWarner,0.11684139979528642,0.3647959794708391,0.06390347171190121,0.23208598499748248,0.2208653317562123
Boston Properties,-0.004044778162165296,0.23661260656063163,-0.009463959597534611,0.16225362261341703,-0.17038565068155678
Boston Scientific,0.3198591208680914,0.36388592727855734,0.19357512424894624,0.216405596407861,0.7793335351627246
Bristol Myers Squibb,0.12794015672420336,0.22891622151483026,0.07837142026759554,0.1490180985337788,0.4004501793340035
Broadcom Inc.,0.5784840823880796,0.49663181657450856,0.34210065446780025,0.27375897946083944,1.0917815764641114
Broadridge Financial Solutions,0.2984873046224933,0.2702332113853298,0.18448871168082343,0.16486128473597492,0.9703348027140426
Brown & Brown,0.25434426393107035,0.18345173002746681,0.1603430022899923,0.11297705963138738,1.1887249530560042
Brown–Forman,0.18198809312061903,0.20285765422163532,0.11411758139723116,0.12958507334365635,0.7183237867637274
Builders FirstSource,0.735390565410117,0.7929419367000637,0.41287640971198364,0.424885008590163,0.8816786176721503
Bunge Global SA,0.10536512642333475,0.3590846993416956,0.05821176709328895,0.21845146499365706,0.19241842324074934
Cadence Design Systems,0.5103979262426276,0.2808906977362729,0.3116565180209217,0.15937561996805538,1.6879423750859013
Caesars Entertainment,0.7506878860646469,1.2465048569695911,0.38871325399032863,0.6148706863855063,0.573136371915435
Camden Property Trust,0.11846252786836088,0.2565369614836604,0.07138498716555078,0.16245962171369469,0.3203901403793184
Campbell Soup Company,0.057615580702521374,0.21473637247108487,0.033179365442084115,0.14159299338460546,0.09940079405629543
Capital One,0.1685113189043028,0.38850617647302865,0.09766050897204981,0.23132385546049716,0.3403825013509309
Cardinal Health,0.1564434532805517,0.32977515228873255,0.09199998986169793,0.20728462823756952,0.3644084088215598
CarMax,0.17443429136044925,0.3362873777329619,0.10251808007603525,0.21544357994278218,0.41085002216180333
Carnival,-0.026081221728320652,0.38268570736972896,-0.03639809362921375,0.2668443939720659,-0.16293223209981816
Carrier Global,0.3786663725574559,0.702257736924397,0.21124227592068556,0.37889073955093255,0.48756423715726194
Catalent,0.2580676854108895,0.5785542478534235,0.13627743924198876,0.3625064738365279,0.38336434563860394
Caterpillar Inc.,0.20229985934934672,0.35286034925022425,0.12011695444569066,0.21866972699397222,0.4705239478904531
Cboe Global Markets,0.2931509033385799,0.2974321423846092,0.1801841874677022,0.17961736993313374,0.8636601495486024
CBRE Group,0.2377931347775391,0.37309944778702653,0.14190549397188915,0.22544610432574314,0.5401308450245832
CDW,0.40573633892432776,0.23574925290972237,0.25086578563441214,0.1414118913797983,1.5671978578854013
Celanese,0.1969588428674275,0.3053191714706021,0.11919238956228441,0.19113048285172568,0.5262958998851219
Cencora,0.2583135274870531,0.2818577459193368,0.15893064013779717,0.1748385159830513,0.7877836104758715
Centene Corporation,0.3887826627534475,0.408776811587223,0.23317817198402876,0.24055941749959778,0.8623582306896654
CenterPoint Energy,0.10401386741206224,0.24910881339290467,0.06200264910915223,0.16182050395285635,0.2719424163411179
CF Industries,0.2836893446370332,0.5600253628799181,0.1571911450932615,0.3356312888862073,0.44179915102159073
CH Robinson,0.048576602547600975,0.17502039138456452,0.02884982766720428,0.11585276444874218,0.07031173730170935
Charles River Laboratories,0.3076770085809056,0.4622219322217201,0.18055070623239933,0.27141576044016147,0.5871776627089805
Charles Schwab Corporation,0.24676528183552157,0.4570384120807794,0.1419134590645881,0.2768239371849699,0.46056231053111246
Charter Communications,0.3827095152650946,0.4492653490139644,0.2248700958208553,0.27907001025873374,0.7711231263646803
Chevron Corporation,0.11266977501086563,0.29494050163754837,0.06589603807864725,0.18479509865493393,0.2590324483092703
Chipotle Mexican Grill,0.4553488651347714,0.6189819241207241,0.2586476854470137,0.3607755081308703,0.6770444079832431
Chubb Limited,0.18055293463872085,0.17699279675586782,0.11431189982545305,0.11014224608525221,0.8151875246742796
Church & Dwight,0.22842046232469584,0.1757100596475758,0.144392859399096,0.10934946836351757,1.093562018839254
Cigna,0.3002193739786882,0.2630135820772838,0.18586009686950683,0.16036279373055,1.003555622975404
