Stock,VaR@90%,VaR@95%,VaR@99%
S&P 500,-1715.0930218646695,-2330.2995009782176,-3669.8551661915226
3M,-3068.552956969238,-4045.066254495622,-5850.476764239575
A. O. Smith,-3924.1945826234632,-5004.288848773885,-7138.741025224585
Abbott,-2236.497314934229,-3063.300330824172,-4693.685583394247
AbbVie,-3679.3107675388683,-4764.399887403839,-6833.208735069236
Accenture,-2707.465612806207,-3731.7584011743666,-5502.329333567311
Adobe Inc.,-5195.895188731204,-6559.997535500888,-8949.886129313709
Advanced Micro Devices,-12484.468857503303,-15351.91071606971,-19409.208900138347
AES Corporation,-4867.129724431677,-6343.899831137114,-8875.920952403656
Aflac,-3540.0855910962,-4678.72586585814,-6454.098562643044
Agilent Technologies,-4037.13210313743,-5328.72635340217,-7461.211166521879
Air Products and Chemicals,-3047.356094205553,-4034.6076147724752,-5739.728458117743
Airbnb,-5621.492531354989,-7088.3426677518,-9367.012417277501
Akamai,-5845.43932640075,-7442.128230244152,-10166.842303774492
Albemarle Corporation,-7065.44525178054,-8899.597930196756,-11816.456514362415
Alexandria Real Estate Equities,-3055.4517095638316,-3990.9350511628786,-5914.65504012366
Align Technology,-8740.416011980751,-10886.75493764486,-13930.366173469829
Allegion,-3093.052250508134,-4004.6319091353207,-5685.905140361143
Alliant Energy,-1865.4966804284913,-2577.7378337300497,-3737.7759485254123
Allstate,-3593.2241154080634,-4683.2434266780265,-6685.167307224967
Alphabet Inc. (Class A),-3660.3338463452556,-4797.138375506752,-7005.837166991199
Alphabet Inc. (Class C),-4046.543388771379,-5229.403346697223,-7170.0360498569835
Altria,-2621.3728902291505,-3549.539475136679,-5227.089245353327
Amazon,-5573.9564800162625,-7181.5709971944825,-9913.560412377221
Amcor,-2804.1494165644635,-3719.9283024950864,-5338.89271261847
Ameren,-1810.8264300728042,-2485.4585092304296,-3933.0834355095253
American Airlines Group,-9229.66552833367,-11194.060962554435,-14497.533248168658
American Electric Power,-1957.8654376042894,-2654.5485402806876,-3960.4821759595716
American Express,-4052.9483247533262,-5212.142386225359,-7026.30316154696
American International Group,-5439.690320740379,-6967.6238487861965,-9528.666896730405
American Tower,-2874.562719957769,-3858.782475215611,-5577.609972706904
American Water Works,-2549.906226674337,-3321.1275423783113,-4729.003676344233
Ameriprise Financial,-4993.942665188723,-6364.383291200595,-8615.482747273798
Ametek,-3271.879446854173,-4337.366725916417,-6014.9320422749715
Amgen,-2645.4336053786815,-3616.938999101535,-5260.437306297998
Amphenol,-3289.335490914057,-4264.115806866226,-6237.905214135017
Analog Devices,-3030.840974630406,-3922.7278435880976,-5818.714005097252
Ansys,-3776.213294330271,-4960.156633723801,-6825.364894607709
Aon,-2695.681682229016,-3560.0843568443497,-5106.510010278617
APA Corporation,-7731.659635731998,-9590.640682927686,-12635.656017313167
Apple Inc.,-4905.20733347019,-6219.133066337498,-8435.603154798237
Applied Materials,-7018.4899065387,-8617.865011772148,-11739.61894769832
Aptiv,-6121.67510838976,-7656.473076540243,-10495.483437059438
Arch Capital Group,-3369.1717337486552,-4477.755647116247,-6407.998278275221
Archer-Daniels-Midland,-3900.368598663551,-5080.627608163873,-7157.768036343508
Arista Networks,-6720.852945227778,-8196.84199371002,-11372.412984725586
Arthur J. Gallagher & Co.,-2135.7134730083,-2909.1579956592946,-4149.089003914891
Assurant,-3765.108919107891,-4959.110965823268,-7161.891400707171
AT&T,-2618.974385883175,-3526.3967174143245,-4837.175519333536
Atmos Energy,-1925.9799404994565,-2686.0818304257305,-3807.156865303679
Autodesk,-4929.170647219715,-6175.233573578968,-8677.179989498876
Automatic Data Processing,-2266.4373733583307,-3147.614684614473,-4710.251059749814
AutoZone,-3363.641039013326,-4529.986899815593,-6517.738395714499
AvalonBay Communities,-2991.361282533466,-4003.772795703076,-5668.690954978746
Avery Dennison,-4107.919502789912,-5468.665375589757,-7646.103671249076
Axon Enterprise,-10442.542373813578,-12638.450996565212,-16824.231789858928
Baker Hughes,-6339.740737214787,-7912.552263122174,-10803.487479108497
Ball Corporation,-3723.025521936596,-4795.934154252201,-6986.484478909423
Bank of America,-5975.68674574933,-7540.913012747645,-10271.185314076962
Bank of New York Mellon,-3959.2322115325205,-5028.495564896884,-6977.936466350601
"Bath & Body Works, Inc.",-9918.188609227092,-12042.09438198356,-15537.394458561794
Baxter International,-3365.7736468752164,-4358.213293056435,-6367.572405427936
Becton Dickinson,-1923.446077387645,-2650.2698126171626,-3947.421631896986
Berkshire Hathaway,-2258.772181664188,-3055.7672400341116,-4549.124962604353
Best Buy,-7253.033327598464,-9111.021480996978,-11734.030257599276
Bio-Rad,-4360.812491630723,-5574.9301577683855,-7721.181360593135
Bio-Techne,-4136.1822931606,-5215.788157088492,-7363.870636998226
Biogen,-5796.319958161094,-7230.399835483991,-9647.285500666116
BlackRock,-4168.624934740271,-5491.8811477539775,-7639.138968251376
Blackstone,-6192.136128564366,-7625.870456043522,-10274.267721960237
Boeing,-5832.468729062195,-7264.575009291748,-9921.750966884634
Booking Holdings,-5591.4601734939415,-7209.798196497831,-9663.56987359715
BorgWarner,-5709.923527194613,-7009.5705283854595,-9348.94932646658
Boston Scientific,-4726.764932251136,-5986.002113827627,-8720.7307056119
Bristol Myers Squibb,-3384.6784608206985,-4530.9646604291665,-6439.98442102748
Broadcom Inc.,-5045.0431646965535,-6506.981287961298,-9092.886898510975
Broadridge Financial Solutions,-3404.737851956827,-4530.652106790411,-6560.192086851795
Brown & Brown,-2800.5901834565284,-3739.880957724674,-5333.741285825576
Brown–Forman,,,
Builders FirstSource,-2910.538838785447,-3876.653297317605,-5575.65932157515
Bunge Global SA,-4896.667026801161,-6305.154376461551,-8569.851643449498
"BXP, Inc.",-3529.7651083252763,-4618.072787797885,-6334.532956637311
Cadence Design Systems,-3922.0798928377353,-5016.898651918717,-7229.576477109196
Caesars Entertainment,-13474.357577346504,-15900.336791332453,-19456.956017920013
Camden Property Trust,-3305.4568226807555,-4440.2561181552355,-6303.163535438152
Campbell Soup Company,-2787.2554190706287,-3759.665233614298,-5313.363321496667
Capital One,-5770.721196736327,-7313.468831869718,-9848.956127003565
Cardinal Health,-3538.5512861820644,-4638.162865813827,-6674.662017969694
CarMax,-5582.243014161202,-7089.414787494361,-9756.028998405973
Carnival,-6852.974660031663,-8572.006533932023,-11462.992337086085
Carrier Global,-8191.64532661484,-10082.87587079285,-13415.42573389849
Catalent,-6609.211700896606,-8261.001681365866,-10880.381826375724
Caterpillar Inc.,-5191.57410771733,-6597.154344922953,-8935.746591833757
