,Percentage_VaR @90%,Percentage_VaR @95%,Percentage_VaR @99%
S&P 500,-71.07,-78.83,-88.85
3M,-84.0,-89.17,-94.95
A. O. Smith,-90.55,-94.04,-97.63
Abbott,-82.35,-88.31,-94.55
AbbVie,-90.35,-93.89,-97.68
Accenture,-86.7,-91.42,-96.47
Adobe Inc.,-95.34,-97.53,-99.16
Advanced Micro Devices,-99.92,-99.97,-100.0
AES Corporation,-95.19,-97.18,-98.99
Aflac,-90.71,-94.09,-97.71
Agilent Technologies,-92.56,-95.64,-98.4
Air Products and Chemicals,-86.45,-91.46,-96.52
Airbnb,-99.82,-99.94,-99.99
Akamai,-96.91,-98.45,-99.46
Albemarle Corporation,-98.58,-99.37,-99.82
Alexandria Real Estate Equities,-88.75,-92.83,-97.09
Align Technology,-99.5,-99.79,-99.95
Allegion,-89.4,-93.33,-97.11
Alliant Energy,-78.19,-85.05,-93.24
Allstate,-85.26,-90.3,-95.53
Alphabet Inc. (Class A),-90.38,-93.93,-97.54
Alphabet Inc. (Class C),-90.67,-94.17,-97.85
Altria,-80.84,-86.79,-92.97
Amazon,-95.91,-97.67,-99.2
Amcor,-87.94,-92.46,-96.7
Ameren,-80.39,-87.09,-93.67
American Airlines Group,-99.82,-99.93,-99.99
American Electric Power,-76.77,-83.44,-91.36
American Express,-92.63,-95.87,-98.49
American International Group,-96.99,-98.44,-99.49
American Tower,-86.76,-91.31,-95.97
American Water Works,-81.04,-87.18,-93.82
Ameriprise Financial,-95.65,-97.59,-99.22
Ametek,-87.04,-91.59,-96.37
Amgen,-87.32,-91.47,-96.05
Amphenol,-87.44,-92.05,-96.64
Analog Devices,-92.87,-95.62,-98.35
Ansys,-92.47,-95.58,-98.26
Aon,-82.88,-88.78,-94.62
APA Corporation,-99.86,-99.94,-99.99
Apple Inc.,-92.21,-95.06,-97.88
Applied Materials,-97.63,-98.76,-99.69
Aptiv,-97.84,-98.89,-99.71
Arch Capital Group,-85.54,-91.12,-96.04
Archer-Daniels-Midland,-89.92,-93.99,-97.45
Arista Networks,-99.33,-99.69,-99.92
Arthur J. Gallagher & Co.,-79.08,-85.7,-92.25
Assurant,-89.76,-93.65,-97.35
AT&T,-79.94,-85.62,-92.75
Atmos Energy,-79.43,-85.98,-93.56
Autodesk,-97.58,-98.68,-99.61
Automatic Data Processing,-83.74,-89.17,-94.82
AutoZone,-85.76,-90.87,-96.28
AvalonBay Communities,-86.76,-91.72,-96.44
Avery Dennison,-91.31,-94.92,-97.89
Axon Enterprise,-99.7,-99.88,-99.98
Baker Hughes,-98.7,-99.29,-99.81
Ball Corporation,-88.78,-93.02,-96.9
Bank of America,-96.52,-98.06,-99.44
Bank of New York Mellon,-90.78,-94.52,-97.83
"Bath & Body Works, Inc.",-99.39,-99.72,-99.93
Baxter International,-85.05,-89.95,-95.22
Becton Dickinson,-78.96,-85.0,-93.05
Berkshire Hathaway,-76.3,-83.16,-91.4
Best Buy,-98.62,-99.37,-99.83
Bio-Rad,-91.79,-95.12,-98.01
Bio-Techne,-91.07,-94.39,-97.76
Biogen,-98.15,-99.06,-99.72
BlackRock,-91.57,-94.99,-98.08
Blackstone,-97.46,-98.67,-99.61
Boeing,-97.44,-98.67,-99.61
Booking Holdings,-96.02,-97.83,-99.3
BorgWarner,-96.54,-98.08,-99.35
Boston Properties,-92.23,-95.3,-98.31
Boston Scientific,-92.77,-95.55,-98.33
Bristol Myers Squibb,-85.46,-90.39,-95.46
Broadcom Inc.,-97.23,-98.53,-99.56
Broadridge Financial Solutions,-83.3,-89.19,-94.88
Brown & Brown,-82.96,-88.86,-94.52
Brown–Forman,-84.47,-89.85,-95.29
Builders FirstSource,-99.9,-99.97,-99.99
Bunge Global SA,-93.49,-96.0,-98.52
Cadence Design Systems,-93.88,-96.49,-98.69
Caesars Entertainment,-99.97,-99.99,-100.0
Camden Property Trust,-86.37,-91.27,-96.7
Campbell Soup Company,-82.3,-88.4,-94.83
Capital One,-96.71,-98.18,-99.42
Cardinal Health,-90.36,-94.15,-97.66
CarMax,-97.67,-98.82,-99.61
Carnival,-99.72,-99.88,-99.98
Carrier Global,-98.25,-99.22,-99.81
Catalent,-99.03,-99.54,-99.87
Caterpillar Inc.,-93.41,-96.09,-98.39
Cboe Global Markets,-87.37,-91.77,-96.6
CBRE Group,-96.49,-98.22,-99.44
CDW,-92.08,-95.2,-98.0
Celanese,-96.18,-97.9,-99.4
Cencora,-87.6,-91.91,-96.86
Centene Corporation,-97.69,-98.72,-99.61
CenterPoint Energy,-87.82,-92.31,-96.3
CF Industries,-98.46,-99.31,-99.83
CH Robinson,-88.83,-92.81,-96.99
Charles River Laboratories,-95.03,-97.29,-98.95
Charles Schwab Corporation,-96.14,-97.84,-99.2
Charter Communications,-93.21,-95.81,-98.59
Chevron Corporation,-91.03,-94.57,-98.13
Chipotle Mexican Grill,-96.88,-98.31,-99.5
Chubb Limited,-83.68,-89.12,-95.14
Church & Dwight,-77.25,-84.4,-91.58
Cigna,-93.0,-95.89,-98.47
Cincinnati Financial,-88.73,-92.84,-97.0
Cintas,-87.89,-92.36,-96.86
Cisco,-90.0,-93.82,-97.26
Citigroup,-96.71,-98.2,-99.42
Citizens Financial Group,-98.01,-99.1,-99.72
Clorox,-80.69,-86.84,-93.89
CME Group,-88.47,-93.04,-96.73
CMS Energy,-77.7,-83.64,-92.09
Coca-Cola Company (The),-70.69,-78.86,-87.87
Cognizant,-93.31,-96.1,-98.52
Colgate-Palmolive,-71.87,-79.4,-89.19
Comcast,-87.36,-91.65,-96.38
Comerica,-98.06,-98.98,-99.74
Conagra Brands,-84.68,-89.88,-95.61
ConocoPhillips,-96.81,-98.27,-99.47
Consolidated Edison,-76.32,-83.31,-90.86
Constellation Brands,-91.62,-94.94,-98.04
Constellation Energy,-98.28,-99.22,-99.84
CooperCompanies,-90.83,-94.36,-97.72
Copart,-88.52,-93.18,-97.29
Corning Inc.,-93.74,-96.32,-98.69
Corpay,-94.29,-96.68,-98.79
Corteva,-97.13,-98.47,-99.56
CoStar Group,-94.0,-96.55,-98.81
Costco,-79.54,-85.85,-92.76
Coterra,-98.17,-99.06,-99.75
Crown Castle,-86.26,-91.03,-95.97
CSX,-91.59,-94.73,-97.83
Cummins,-93.62,-96.05,-98.52
CVS Health,-87.99,-92.43,-96.54
